,Iteration,TIMESTAMP,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
0,0,2025-05-26 10:35,0.0025780889444547367,0.0030473497071731247,0.0029652441977531187,0.0031031022864074537,0.0026327924800193373,0.0027563298707685025,0.0026074760625274104,0.0028523903148021273,0.0029162028517228443,0.0025847510098923523,0.0030314685273698664,0.0029063686796558055,0.003093357976166198,0.0033629841723143766,0.003413531666462566,0.0031527256985274454,0.003178918026557975,0.003023237593214659,0.0029581533856606803,0.0029921218483971515,0.003046301527496678,0.003132849747804902,0.003401680881858053,0.0031560487117481733,0.003172333322954507,0.003147726779990692,0.003272338778619616,0.0031298442768618556,0.002919191452514747,0.0030730173452930705,0.0028894783195232534,0.003341881773851765,0.002786098596664592,0.0030004177489593446,0.0031807948502493035,0.0033133343800172614,0.0029483535684340723,0.0032194891087739615,0.0034901922142942816,0.003295569816121562,0.0032378425186339365,0.003289164768213053,0.0033471486038318954,0.002996742924823619,0.002850049545957382,0.0028522538574838434,0.0035429593285998787,0.0032954663453817526,0.0028968712637544598,0.003046616675323463,0.0028290777047453816,0.003033771677319171,0.00308129508440828,0.0029530350430310237,0.0029399451568122383,0.002857782805837347,0.003290415652524439,0.003031061089631809,0.0027526260058628065,0.003059920176402237,0.002661518450583613,0.0031097778301718906,0.0031226794722396304,0.0029940577937023045,0.0029082947596933916,0.003078842618798924,0.0037420678060017636,0.002912978215720306,0.0028728408013203276,0.003018304637825966,0.0029533104276451808,0.0037314455311588655,0.0031580975489340626,0.0034612860534436554,0.0029608594922395613,0.003186385641963104,0.0031892238562307206,0.0035823138353326587,0.0030318205917638503,0.003419831386945422,0.003113671956754298,0.00312374755666294,0.0028394218703857027,0.0030772422954685086,0.003164146485165385,0.0030185928588669845,0.00323734455567335,0.0030027596521157883,0.0033967656101055823,0.003326406264819158,0.0027518526512521247,0.003229838649877995,0.002744705967598237,0.0033228335752706222,0.003281588859647487,0.0035791550580537776,0.003305699877783905,0.0031511737243874196,0.0031715461812705137,0.0030722082742974033,0.00318291804794332,0.0030469688770209434,0.0033378441384119798,0.00333804770865591,0.0029155007747945277,0.003152923321237075,0.0033598967564788342,0.00323821186315143,0.003108220552531409,0.0029222941383256593,0.0032918283140621796,0.0032688462693550562,0.0036616353734735263,0.003339858476593123,0.003248618292290723,0.002996352413226216,0.0031350395879060403,0.003825677868279079,0.0032296146454542595,0.002772754593695659,0.0035515256928702965,0.0036704894638680363,0.003580807672144632,0.0031140209858248474,0.003046059575177737,0.002929665656131062,0.003103646154267454,0.00341028232926504,0.0029565066510069842,0.0031170121986438207,0.003582402298440272,0.0028898523897930247,0.0030067065270853515,0.003155123116092423,0.0032089441797366804,0.003514751559258323,0.0030371684461452417,0.003296552262679689,0.003939493754375272,0.0027374121794474723,0.0032481464620894005,0.002937490117703847,0.0034192695589597396,0.0031310503107565067,0.0033504123122476853
1,1,2025-05-26 11:05,0.22735385426195204,0.223844632948066,0.24842345977227367,0.23188685434699396,0.22546850031502133,0.21460771125755487,0.2768430651063665,0.3008880334201782,0.29731140273636947,0.3650735856217494,0.3341869259533083,0.22088222609683106,0.19553362467677216,0.19664589094791052,0.1786425935183913,0.08053202464130119,0.09575377131460314,0.1994206520523477,0.36370277520083133,0.44561823993681987,0.511035667337813,0.5623257476648578,0.5490089927914594,0.5022095339837539,0.4320354632035919,0.36379105223911556,0.3170102359791248,0.277823121385564,0.27235396104388493,0.25381496332379777,0.24411122045404382,0.2903061289584243,0.3663817473081022,0.4069369734583356,0.4468258891807033,0.46971264651315764,0.5364050682505596,0.5956315961411781,0.5099895719816697,0.4610867257496954,0.44429467304113895,0.4405848216836901,0.3576445043003073,0.15548850491969507,0.210171424419376,0.21254679157747955,0.20427241975450122,0.18622124864082876,0.2008102985363182,0.22485122376806138,0.18110253706773619,0.21275710806853837,0.2778193393069882,0.29397010020679426,0.2775676646555371,0.30284838329829555,0.3394079780308621,0.30181028518846337,0.1879355847746321,0.203185856832782,0.24909386800450437,0.2352812271621687,0.23331614212432783,0.2978595145179168,0.2670688041222521,0.2689843142106058,0.2123116965661498,0.17753770712598882,0.17483508109666446,0.3130005865855093,0.3371440862610216,0.33497600298949176,0.18606901923461633,0.13626182251457286,0.31763042218139875,0.4086170963569054,0.5533315645975643,0.7734804026372396,0.8425417828905379,0.8584081994056669,0.6005375929670972,0.5198455685670391,0.5133397245935832,0.4310185082741284,0.4928895996822623,0.6166631676330783,0.6880286023826342,0.7759991214943482,0.9170929921183326,0.8585654745537639,1.041331023328684,0.8042584865696482,0.6416822080441896,0.47462865121914644,0.28063350656082603,0.47491105136134565,0.5053893986163781,0.43900248954228116,0.2899976017193986,0.16245610456176862,0.15990351155993482,0.2004305761390275,0.21622100389450472,0.1858808391320202,0.22372897315133014,0.3380030666972196,0.37553464328569314,0.4519213773692866,0.42718172383585373,0.3941909673065205,0.28894060056549886,0.18835515933290972,0.21922991609408743,0.19668063647302425,0.24556245452420153,0.41926469242132763,0.48151157297878244,0.6708686213250239,0.739986625207335,0.8543165375944378,1.0590572179844062,0.9228186075274559,0.7856813898876125,0.8011551366493734,0.6947325025590535,0.5645193977587211,0.6805495301430189,0.7508857678629258,0.9188257282797222,0.9120045015712761,0.7551051755446976,0.6703829534716121,0.4881554827215237,0.34390056401052954,0.27974752965711225,0.2772414177300111,0.3708421352739861,0.4282970598374588,0.5315082541562448,0.4492338730138807,0.47653064376495907,0.6934386346592538,0.7556045428064186,0.6887479310046646,0.5886834169234503
2,2,2025-05-26 11:10,0.2532087933738274,0.2768043187711876,0.2409432658857887,0.23345590690309065,0.2324854120732707,0.22429782459227252,0.23454165597840027,0.23931274773265734,0.24620933037553205,0.29186888612076073,0.27212436625491293,0.21501426222772826,0.21377742805852018,0.18174186750931157,0.19701639196700382,0.22192639925941723,0.22656832280282213,0.18197394684957902,0.19484890159430296,0.22415903788738714,0.24958586440102962,0.31844903989188933,0.4517988716079494,0.4909457690298267,0.45259999662711176,0.4051454814347177,0.37451870089454237,0.31564101732857647,0.2794063474367823,0.2522984794689352,0.22239462408757107,0.27620931930488823,0.38641979036708823,0.4935622970151797,0.47873778776006853,0.4947881943744848,0.5959581397837375,0.7007173409635441,0.4695136164087313,0.36646078262023785,0.5431089950335856,0.5283364371093748,0.35292665137247464,0.23432912740546072,0.1819026238626117,0.16481465171462634,0.16959079244096478,0.22659818381565922,0.2938616988744703,0.2427741290805785,0.23346725667757084,0.17475368715331938,0.1740328916149399,0.18970858148774958,0.19696310087303057,0.2029195721608421,0.19210076669188605,0.19996388112774646,0.18252317060888107,0.1764994526990298,0.17760845410849246,0.16610500222593447,0.16756999141102683,0.1597286659043369,0.1558166374326934,0.16581686535966364,0.17400873691146704,0.2394142148147696,0.25198371179014656,0.18896388397531097,0.16474623955964934,0.1596638886034837,0.1577179232826292,0.1685794823157442,0.48798128339687113,0.5576927428263091,0.6993293910103141,1.0541291210689527,0.9446715259445567,0.7192128389136011,0.6546477991507655,0.5291444332740655,0.4922099854455482,0.3569641007534208,0.2495805172185907,0.4232487910491456,0.6487934622536403,0.6649356799549175,0.6990124771765877,0.9902047280934481,1.1597971805911174,0.8886911312034639,0.4970661340277947,0.3335853665114643,0.21534051703581497,0.24277494690814774,0.29625650474798143,0.24151091686996531,0.2149723763646079,0.18082625037967803,0.20625477256153588,0.21654646858717042,0.17918967341363218,0.14804170653695162,0.14474967187583473,0.15035786243471544,0.15682618719587363,0.18040408881337155,0.20082450722974632,0.16645548074850158,0.15095858125178366,0.15783163377103654,0.18661397568517554,0.2537900625301332,0.2504489555427299,0.339957201519697,0.3839980256058324,0.4632728193434711,0.4011743638043532,0.4229969266302554,0.7485295861135552,0.8775345153507973,0.7320270435182147,0.5463521212583181,0.5553739017623122,0.33184134269463633,0.5125582689062079,0.7207663042369041,0.7726062771266623,0.761068240927135,0.6575596713522738,0.501481040098268,0.440554878996784,0.39870137365690145,0.29201995112862106,0.21432072494273413,0.21879080224349665,0.30812473942911384,0.30047537887125814,0.32500268547462124,0.4654345509646109,0.4553950524033136,0.6511402950541102,0.5110111586558134,0.32883273015857656
3,3,2025-05-26 11:15,0.24796339980547605,0.2687279344967238,0.2658298177476129,0.2527557376161139,0.25870186231530595,0.24881493271814237,0.2207609631019781,0.2193963230969918,0.20938418937874595,0.19999151137268104,0.19681475679608978,0.1974046606807439,0.19000918626579102,0.2037327832873504,0.17780696377101923,0.18739536801584758,0.22137528789802513,0.27810843474325225,0.3487520822253007,0.3979507074179333,0.4060663742029047,0.46155090825368617,0.4803472659969573,0.4140633829475509,0.3675321920557462,0.31689739733194566,0.31901740669594014,0.2920935185936493,0.2692488026418451,0.25739401023452285,0.20699795164620874,0.2611487601973035,0.34721794826101304,0.41364863395961043,0.419928673330518,0.5075082833758848,0.6013252075372022,0.6107185277946662,0.770490956089635,0.6648425110842947,0.4327239824632901,0.38277638418635207,0.3276438669835438,0.29076627279854644,0.23807151940589094,0.25917799343718995,0.2562057907028396,0.23062389077922799,0.25350625582667446,0.2332812313060154,0.2070290364773869,0.20753959525456095,0.20474279390823577,0.19398616558245102,0.2106941095182406,0.23705548962613665,0.2783315698060791,0.3047179383473155,0.26874772159321436,0.2257332299500027,0.21050972542228416,0.21367199298883788,0.2457331902687272,0.25638933142947634,0.23525485294589252,0.2616117978273255,0.266772608238742,0.26367653265727026,0.30139780473922917,0.23957334800744348,0.24595709590810869,0.3230388476029985,0.4007474181577359,0.451949047353361,0.5082381722896904,0.6470286183518293,0.7269808450551487,0.8244686338542757,0.8230990449783079,0.7131833160573678,0.6292003145868936,0.4394910043845121,0.39762399585656244,0.24775442550394633,0.4224742180182671,0.5199663017969146,0.6079028244440141,0.7488192326469267,0.868265799439926,1.0475993128739345,0.820334587941932,0.6066196660438006,0.6421458835189516,0.6023584436985269,0.47481555163604944,0.4085036300453033,0.2355491438934961,0.18799058435882765,0.19383714536388047,0.3441858186765093,0.36758229576736007,0.3945559879051787,0.33348856275302347,0.2829121172111517,0.2550086714796059,0.2005312711795816,0.21762696101250886,0.2885266124153223,0.3469644136163944,0.255860165696958,0.23959945855079096,0.26747672800858946,0.32234300458853116,0.3621399651286385,0.19340451727929076,0.18173979487930578,0.22357098123475502,0.2748966489064365,0.4875344045940059,0.6871880387472019,0.7356529220686557,0.641471716376314,0.688761018211782,0.6778367499877782,0.6497982708401187,0.47452593980921276,0.6348224131445905,0.6205477080014594,0.6820841064723698,0.7744561505775234,0.7147482868446748,0.5476649595571791,0.28911205430650927,0.22196180711809785,0.24725609648305408,0.3654178661339759,0.4073184433463623,0.48631637649511494,0.5788373379114735,0.44517636887994716,0.34764200849458526,0.5389708096066532,0.5717237177896809,0.583861206933294,0.4223323240854877
4,4,2025-05-26 11:20,0.2638609023925928,0.2604373178173322,0.24721915061218727,0.24144898298637327,0.2611055892237353,0.28339946465711263,0.2887114579106596,0.27645090102534686,0.2771426630653313,0.33234900095791065,0.30333222701973805,0.21998652559162318,0.23664162884055864,0.26141141219112696,0.14262722553766363,0.05095776256338137,0.034615758442920995,0.07281843818037226,0.1464563872661922,0.1688254126049231,0.3826634229342218,0.43361259350867976,0.4970469394071916,0.38307710849425997,0.4498501385269074,0.3921383695271884,0.3301429486581368,0.29883558531491006,0.29580084365744563,0.2888870751628027,0.2569848148401156,0.26917737189197694,0.35829769508954157,0.387502643962998,0.5300483959768361,0.5064007814401924,0.5143486435756931,0.582554701125789,0.6355605839649945,0.6469238126487818,0.28094267941596285,0.2558020938283168,0.18090439904469469,0.19655506006599593,0.1357823125223347,0.26146061934927917,0.3469939275091644,0.307362412840937,0.25522921322855646,0.23830200207635424,0.21662789795735343,0.2258133295501336,0.229163029917409,0.23926975580660714,0.25004214160521365,0.22913872362371576,0.22948724561718076,0.23376118516347286,0.24524833169654098,0.24580411292707646,0.24563574443497452,0.24387017123874913,0.23392173945464656,0.22551640184080066,0.22538141564764724,0.2552563173600226,0.3010351557794762,0.2579820505806129,0.2301173623294618,0.23799209165434243,0.304842159823931,0.19920806067950048,0.1629206768783401,0.2651919701370784,0.2334604345477575,0.38322005152682653,0.7961943256907493,0.8634440155885402,0.5964161865415517,0.5016656384017019,0.5298013437692886,0.4179877822797543,0.30849839105122995,0.24208338656565964,0.2562286084730806,0.2723420369640836,0.296694175944711,0.3971300578708978,0.4998145012561463,0.7279250009125032,1.1871939567286447,0.8739813084451246,0.5543754404915239,0.30050867247631,0.29604746230089335,0.1942557629211523,0.19828557340375294,0.22189537422275796,0.20960761687171559,0.21863521989773307,0.26008496085210847,0.30510407826219044,0.2942387698727221,0.2605159050763743,0.21554332058617842,0.22175670888989005,0.24272507537708027,0.2604234918845362,0.27746615819178727,0.26809409788289434,0.2566681456354917,0.2593311887551788,0.24308631892690022,0.2367213066882305,0.21961984490026765,0.22006858723566758,0.23787617242655992,0.28545009875279664,0.3782508999086991,0.584317047748307,0.6842348747378273,0.7156016549735634,0.5545801810869376,0.4502579573385714,0.30469282204435033,0.2746248930550982,0.30202009512050343,0.37332394054489515,0.47875707426614234,0.5314297450235357,0.4135265874339867,0.29503190508135,0.242035843909393,0.2209711794059704,0.23904087536775487,0.30048763465735,0.2713824422117914,0.27912276298318056,0.2698380056454411,0.24501426245146182,0.23597684897881213,0.2897535882857439,0.37608271312717195,0.33328747599651115,0.25952425841351356
5,5,2025-05-26 11:25,0.25557288640678655,0.24583191007532293,0.24199213767715513,0.23634287893789477,0.22385710225057684,0.2266753921931188,0.2227861009467,0.22141109548854157,0.22658401021473698,0.23539969821299478,0.23113749644285259,0.22518834277675082,0.22663836121507294,0.21858921258546557,0.22817343385541278,0.23654721044705276,0.24152363132889484,0.2638303214479771,0.29328145302223446,0.3582157844518601,0.42046958589497,0.47153548689998276,0.4506220178610609,0.4392010361715288,0.42066683622432033,0.35926332142100836,0.37914971628406785,0.31834752027632596,0.294369902949428,0.27617278678234736,0.2614505406152918,0.3195942531454859,0.4203201338925071,0.48167238432621107,0.41630148680316414,0.4239280131855107,0.5357837978189527,0.6276091557667166,0.6131302968596546,0.6174346076189844,0.4877632788387614,0.4055892549803999,0.4213025132281358,0.38562506690199555,0.27953313084610476,0.24075364324020257,0.22515065818617197,0.22948848352876547,0.2434535059579936,0.22823069270869334,0.23444124631836746,0.24442139408146848,0.22647012871800928,0.22382079103272445,0.22442635800222285,0.22807129063218848,0.23048746147381122,0.2347312671118373,0.23328045019377303,0.2395436057659043,0.23284135315353796,0.2301565521965289,0.2208760213972964,0.21474916702997965,0.22682322404710406,0.22102036628435637,0.22685353306014558,0.2238865602704276,0.23395719288638786,0.2953651596944464,0.31697210170434653,0.32767584150645257,0.2894342369668313,0.48882521477682767,0.5472533501415079,0.6283131595842754,0.9307838293034861,0.8564517993473452,0.7017656178902341,0.5793533038280128,0.5794206580946547,0.41926153530684873,0.3193908812919459,0.26837267308791296,0.27992285987144305,0.3036762429361851,0.4794248681216642,0.6843866865652564,0.6528706786111323,0.8262033978265262,1.2010391440785275,1.101229061430863,0.8248562629833562,0.5829571836759089,0.4639660075320701,0.32083865111645155,0.36026721875827156,0.45988521336623117,0.4001055984796481,0.25551312504424917,0.2167766564111731,0.2101411840948925,0.22678273486545822,0.24081738296378086,0.23813810855757164,0.2333347241198446,0.23699764129067033,0.2597973221160712,0.25334941387685556,0.23824350182335108,0.22712797201712423,0.22159093412733188,0.23048114924424398,0.2545201213128222,0.3412758686326095,0.4868312972080723,0.3897295231307145,0.4416452930466433,0.4648698760353488,0.659471330646381,0.8925520662603244,0.9125942050672856,0.8276730819149309,0.7620992923947703,0.4822309681982404,0.3106981035647355,0.4889602127817323,0.6732562462033826,0.7847993247066092,0.6554016332655029,0.5052597044543103,0.3729307562449431,0.37142356486357647,0.39446918479281184,0.26423942485261137,0.24534879844578125,0.24288988359896133,0.2765477138719224,0.3658568202842797,0.3616788004129139,0.3312173606108986,0.37878336002835594,0.531631199003144,0.5909851599681701,0.4012947882833029
6,6,2025-05-26 11:30,0.23862466049140243,0.23254655181071993,0.23996137373652265,0.2480866004634015,0.24944845992139414,0.2426033560132889,0.21072419303883438,0.2055767455652396,0.22029419668990333,0.22745227167932502,0.2374459059928129,0.23303275637750445,0.23529928472023542,0.23634418943487298,0.23711542513115702,0.24744871913931135,0.2551754992297691,0.2756577733123455,0.2915253403178173,0.33384041774495404,0.37694798724244605,0.37455864949119755,0.38649803047516545,0.3736529881141089,0.33700642191180563,0.3275359537937782,0.31586202864212665,0.31345868992910453,0.29612777853831623,0.2676289818633132,0.27981517651717913,0.3071804715599578,0.31976570763659556,0.3228275956971907,0.3459700875283048,0.37980853641494106,0.471689658944999,0.4977436987443207,0.5330926512924807,0.5759897316665799,0.45891409860832216,0.4016505586035786,0.40184579093021855,0.36648815297309073,0.33070438769395016,0.2660071380840018,0.24827142931905866,0.2369218587028927,0.2341911934698974,0.24856483841143742,0.24495450093968618,0.22761055765964697,0.22164971320274188,0.22706796076049895,0.2309798022103828,0.23296022735407543,0.23113380226631644,0.23695981029706062,0.2396646024131731,0.2574552356598286,0.23867342960470064,0.22447526004004087,0.21998767529109545,0.2558398815164089,0.24288909597128241,0.23010211735152908,0.2576351229453827,0.2709504349067112,0.2925095104583349,0.25916720386041986,0.2558139108636005,0.30183379923875964,0.434809064805207,0.5316915043372195,0.578602141322419,0.5799598866115093,0.6890061521171323,0.8114412895623716,0.6870841164453279,0.5257852436962931,0.4617771415937159,0.49911808691691056,0.39291721974612215,0.3346585461726513,0.38782235255517633,0.47632526501251504,0.5276040099901403,0.5346243780441331,0.5787626386326047,0.8583478733703839,1.233265755391351,1.0119447951787202,0.6721221369612821,0.5617778827262532,0.5448812743219947,0.3593730692343106,0.26393391497904606,0.24313680036156152,0.25311005237060663,0.2922517916389165,0.26854131980658946,0.26452852262668625,0.23009199555896934,0.21669079242168243,0.22452418893196333,0.23748565690646084,0.26668943071874923,0.2847221300371723,0.2786528667375096,0.2545747490862436,0.2555116257841473,0.22780950223105922,0.22369262043792343,0.2625104382888464,0.2537174326812319,0.2615083435984361,0.2887221205938976,0.3145350652315717,0.4410432188680553,0.627003038312405,0.8832714206842265,0.8895532532427339,0.5964132681820032,0.4984640586571124,0.4966621108754798,0.4226705201074932,0.37347844898036175,0.438256161611079,0.5402591179514519,0.5800483160155087,0.45762201595039564,0.31715064617692074,0.28059446019011547,0.25389669294173656,0.2298407249509458,0.245944929145624,0.26859608897275006,0.288973559094549,0.3058168239014841,0.2824605626298021,0.28420454563940717,0.33967883102011,0.4285958249639268,0.38441567943031446,0.31097728552338944
7,7,2025-05-26 11:35,0.23099570650759765,0.2224212222112213,0.20477513885574497,0.1941267333037193,0.2023913817062015,0.22236539968632074,0.222045139408785,0.21594107446552988,0.22358337673109052,0.23343319696752848,0.23744305036187158,0.24593993985606902,0.24308858780188677,0.2518366987783878,0.26717492010600247,0.2732562091542955,0.28736164352141785,0.29990324965307047,0.3185881193800111,0.3506650926620215,0.3958667200817189,0.43239525772773046,0.3989554260024937,0.3934446182168079,0.3702004957196795,0.3806975892873108,0.36057570359460456,0.31482676617822175,0.27846488494491545,0.2530792628792019,0.251243436267362,0.27364606061765784,0.3230290101328291,0.41750518076768955,0.4326352793907988,0.42781782327392104,0.48069588269922625,0.5704227166915977,0.6495862379244561,0.6500038903932995,0.4894960722078191,0.4117181300344624,0.3723664709237127,0.34273259462975636,0.29829267974975204,0.2701112464331809,0.24456026941322107,0.23743044338876185,0.2517752537476742,0.24274521183440148,0.23665584626247227,0.22103788928704463,0.2121702664383084,0.2143763287715973,0.21726110935893497,0.2126379728550782,0.21193736650630127,0.23449949695038472,0.23380360297763336,0.24576422063142342,0.23317426615809772,0.22900141645193098,0.24464062996119673,0.23714967910180326,0.22648012878669957,0.23162097719217573,0.22644268838761838,0.220367724838126,0.23895931768352294,0.25759617443415433,0.23816773333202304,0.2742505398049105,0.30501023556094853,0.3386716045894126,0.44544273426057285,0.6229131482035233,0.7819957230572002,0.8278423575596126,0.6516350951517266,0.526652141143282,0.4596102663717814,0.40098597617260306,0.2843015970701446,0.23418520957233488,0.2533380678406988,0.3015022834322394,0.3602794886313368,0.4478992228418316,0.6072727586897997,0.8340720773855086,1.1410612131819673,0.9617972448425711,0.5843881676472171,0.44646112728856036,0.37336768864390346,0.31353150335756336,0.3074016984555082,0.321516592846756,0.28361953925698113,0.23866589236194188,0.21587131939589474,0.20597907989898318,0.21800164289251703,0.2347423564206947,0.2549822656909179,0.23973332092433297,0.2359964094877424,0.2399459760509826,0.3314995261181466,0.31616262284539265,0.3106518170312853,0.2825466180807278,0.24124184176634234,0.23963973416955298,0.2537091620516889,0.318865928721206,0.32814668748090586,0.3559528213906129,0.42699871822985064,0.5979457018982418,0.9125656935899616,0.997301141773355,0.7111877193861328,0.4873555748426558,0.35428175119535293,0.2932155347844449,0.3306763191444608,0.5017944230538501,0.7075411661891339,0.6976494977001487,0.5142553292110014,0.35602187629172155,0.30815558809364296,0.29671263326822045,0.2858857269816079,0.30961301802369917,0.3550744375134513,0.3901918431714966,0.39889933871395544,0.3142569727793443,0.3082292159179104,0.37788512526470086,0.5302266267951051,0.4465766728619454,0.34564822186401606
8,8,2025-05-26 11:40,0.23384898190794587,0.21742264679720194,0.21311903923692085,0.2004776310694559,0.20617139980927537,0.1780548871570406,0.1932908812098726,0.19262288810486108,0.2035803593021143,0.2316949876601724,0.24127899324051233,0.24410056234000216,0.25422213069340094,0.2468329828801047,0.250494631121758,0.29113953198857656,0.30814604946636603,0.332542935936694,0.34378125564861545,0.3641087102540831,0.38146357810848525,0.40418927241103636,0.39832779303857924,0.37744575998255864,0.3670728743824686,0.34003352061730235,0.31794540222207895,0.29895396675568636,0.2742159102298557,0.2617808119742941,0.2673958056722127,0.29980119480608947,0.3185683365468583,0.38841580341296045,0.4348605108003901,0.45085659881614276,0.5312262541232204,0.5346931905923413,0.573927366374415,0.5404674551217454,0.4829124282462983,0.4329027928943679,0.4138921558399152,0.3296428534261908,0.35806208682788904,0.26809787824335224,0.252389737731546,0.255566600176973,0.24967465073280223,0.24580507762900475,0.22927913461546762,0.21638017376573426,0.21665140297741675,0.22015334569867323,0.21676909373414213,0.2127871900753327,0.21963081736961848,0.2215320704670827,0.23031500442062786,0.25894291266744357,0.33464405709993683,0.31720238668590395,0.2567434469879631,0.22480822622642352,0.22592363095318757,0.21238568969071234,0.21933925673006144,0.22239116403196352,0.23955218918344603,0.24519579595015473,0.2705165939137522,0.28209364837493367,0.3383678504718169,0.3847111176917661,0.42187619805328364,0.5538684939648094,0.6789564953195589,0.7824014593833278,0.6530220088578771,0.5674028230765128,0.529243943752972,0.49446812339642837,0.39649691943809773,0.3472676091360695,0.3905343549993671,0.47479169329580495,0.5990563733175333,0.6579411360282156,0.6107337765843119,0.8691671135930392,1.175625516803798,1.080180971327441,0.6949655527320618,0.6024985729790735,0.5043910552019277,0.35242586443472507,0.2913959720416761,0.2716620115455585,0.23495167500170844,0.24478588636863008,0.24000757019218383,0.25356189730812473,0.2447720279149766,0.22447444601428368,0.21725496032645392,0.23203548007001265,0.2894714078888385,0.340569270761727,0.31156519043100656,0.27562663448718194,0.24733735004069896,0.23472001282641058,0.23473464892844417,0.24876784735589771,0.24126520009807587,0.2356815431579792,0.293613691429745,0.3467182577165409,0.5471778672281611,0.7499179331724815,1.1018604434759878,1.0909110746831896,0.8191159184060647,0.6924239375729568,0.5539411343598091,0.41579412150395045,0.5993030014131775,0.7121273243038976,0.7919450765439959,0.803007647290221,0.595236535010923,0.37212822161336173,0.2713265641743335,0.24576102725145632,0.2561986147935174,0.2515194297669213,0.27263211348366556,0.34794301200009864,0.4656568203936225,0.3213210029544131,0.3081360541650249,0.393797693897827,0.6234351908176056,0.6773265295947999,0.48621175273371425
9,9,2025-05-26 11:45,0.20422381957603625,0.21486605437845832,0.2154548054477422,0.2292565721847299,0.24222592580439625,0.21437061308579866,0.19158013201876264,0.19403664359654624,0.19466225899241538,0.21429723626076952,0.23886530753330298,0.2578078628229517,0.2558982747913897,0.27070603555287687,0.276003887664781,0.2577260662532003,0.29028288738576175,0.32687174182842754,0.3871448970197266,0.3972968057018121,0.4430117407049038,0.42564625575988657,0.39827335360975774,0.36154851346824135,0.37085517193804757,0.34229572613060316,0.353745245748177,0.3017271826017232,0.27159999396558027,0.2274115022153334,0.24725677896654202,0.28225603561764184,0.331187891481974,0.3995299800790221,0.36081976327599613,0.3774575430305454,0.4671799599946779,0.5465704916997647,0.5713264941975092,0.5140034174382927,0.468523558442415,0.40119478765788946,0.3320816437037394,0.29654499451146493,0.2892372575748594,0.2961845544079867,0.2878438512881395,0.29611535576601167,0.32703660660256095,0.29137056592117366,0.26203068250325445,0.2341286734755563,0.2147637208948733,0.20717295200527466,0.19751223518975314,0.26554411577760667,0.26613972828806853,0.23402295812118454,0.20301819488893874,0.2110667980270332,0.2363627874818923,0.2302314390642281,0.22357954425408788,0.22142160408339553,0.2303722358658312,0.23438940962050428,0.23535027993336574,0.26159549638290874,0.2740988705282157,0.25604378782275516,0.276888134476831,0.29589135087391094,0.3496572229075425,0.40330073861943994,0.520648173279037,0.7684666936715325,0.9627448300863818,0.9799628498809158,0.7001369771183064,0.5296872412780381,0.4035200921929057,0.3558992744340017,0.30886229882648025,0.23865068260987632,0.2583970849452742,0.31172826125230746,0.4173100639734663,0.5103430067118233,0.6596165266253532,0.8257275733307768,1.1714956281845166,1.127954521487627,0.789032531023117,0.5721261817221744,0.44118525586894214,0.36325328677304985,0.3220515720426797,0.2829567603004766,0.26437507048413406,0.24433724093921347,0.21586605394201802,0.2230697048092727,0.22444883588564396,0.22776227969637905,0.23204008090556266,0.23611590338033855,0.23813738617220714,0.24002217072090457,0.27071663427691534,0.25875068488640096,0.24543804372704486,0.2276291026205753,0.2226866683579401,0.2278760289697198,0.30332243201911674,0.30754256974096317,0.3391807929780564,0.4353290127311597,0.5754824928357314,0.7227859245039436,1.0713778595829933,1.0543230459383004,0.7662338827725441,0.5669359406078834,0.40002856392235037,0.32734806705212754,0.4222682169350176,0.5735328387422328,0.7618077463293011,0.8245367457470107,0.6880529889824337,0.4673500681341638,0.38082468513665924,0.3733128409551129,0.29389607945016333,0.25816225561147815,0.28159816443240165,0.2902265501294547,0.45428270980233204,0.429818049308871,0.4747303523521337,0.47306763697412263,0.6215631172360125,0.5244364132287563,0.5409791233340691
